id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
42069436,Guest suite in San Francisco · 2 bedrooms · 2 beds · 1 bath,204441,Gary,,Financial District,37.79723,-122.40524,Entire home/apt,103,30,1,2022-04-22,0.07,3,70,0,
41696765,Rental unit in San Francisco · ★5.0 · Studio · 1 bed · 1 bath,52178915,Jim,,Downtown/Civic Center,37.77985,-122.42176,Entire home/apt,95,3,27,2023-03-24,0.67,43,5,6,Exempt
42071942,Rental unit in San Francisco · 1 bedroom · 2 beds · 1 shared bath,140099678,Kate,,Outer Sunset,37.76349,-122.49987,Private room,65,30,2,2023-02-10,0.20,1,22,2,
41698721,Rental unit in San Francisco · 2 bedrooms · 2 beds · 2 baths,107434423,Blueground,,Downtown/Civic Center,37.78753,-122.421312,Entire home/apt,333,31,1,2022-04-24,0.07,138,357,0,
41714021,Home in San Francisco · ★4.57 · 1 bedroom · 1 bed · 1 shared bath,2146719,Nikki,,Bayview,37.71991,-122.39374,Private room,55,30,7,2023-04-21,0.20,8,290,3,
42914824,Hotel in San Francisco · ★4.39 · 1 bedroom · 2 beds · 1 shared bath,309729224,Hayes Valley Inn,,Downtown/Civic Center,37.77793,-122.42265,Private room,104,1,133,2023-05-16,3.78,4,348,52,Exempt
41772614,Home in San Francisco · 1 bedroom · 1 bed · 1.5 shared baths,1996629,Pablo,,Bernal Heights,37.73514,-122.42704,Private room,90,4,0,,,6,0,0,
42073272,Rental unit in San Francisco · ★4.44 · Studio · 1 bed · 1 bath,13112056,Fiona,,Haight Ashbury,37.76993,-122.44894,Entire home/apt,90,30,9,2023-05-15,0.30,1,257,3,
41784672,Rental unit in San Francisco · 2 bedrooms · 2 beds · 2 baths,107434423,Blueground,,South of Market,37.78014,-122.40384,Entire home/apt,257,31,0,,,138,295,0,
42094030,Home in San Francisco · 2 bedrooms · 2 beds · 1 bath,92774,Giorgio,,Outer Mission,37.71768,-122.447,Entire home/apt,90,30,1,2021-05-30,0.04,1,0,0,
42917380,Rental unit in San Francisco · 1 bedroom · 1 bed · 1 shared bath,41954868,Heather,,Noe Valley,37.75424,-122.42772,Private room,83,30,0,,,1,0,0,
41785573,Hotel in San Francisco · ★4.38 · 1 bedroom · 1 bed · 1 private bath,309730457,Edwardian Hotel,,South of Market,37.7731,-122.42077,Private room,122,1,143,2023-04-28,5.79,4,365,47,License not needed per OSTR
41785575,Hotel in San Francisco · ★4.10 · 1 bedroom · 1 bed · 1 private bath,309730457,Edwardian Hotel,,South of Market,37.77242,-122.42209,Private room,104,1,29,2023-05-21,1.24,4,348,15,License not needed per OSTR
42941567,Rental unit in San Francisco · Studio · 1 bed · 1 bath,303118342,Jesse,,Castro/Upper Market,37.76768,-122.43643,Entire home/apt,95,30,2,2022-05-30,0.12,22,300,0,
42113128,Home in San Francisco · 2 bedrooms · 2 beds · 1 private bath,1093108,Mike,,Potrero Hill,37.75808,-122.39919,Private room,188,2,0,,,2,0,0,
41785581,Hotel in San Francisco · ★4.33 · 1 bedroom · 2 beds · 1 private bath,309730457,Edwardian Hotel,,South of Market,37.77276,-122.42227,Private room,103,1,27,2023-04-09,1.14,4,345,11,License not needed per OSTR
41789520,Condo in San Francisco · ★4.88 · 1 bedroom · 1 bed · 1 private bath,14765200,Mishi,,Castro/Upper Market,37.76173,-122.43604,Private room,125,2,60,2023-05-16,1.51,1,324,34,
42121425,Serviced apartment in San Francisco · ★4.73 · 1 bedroom · 1 bed · 1 bath,20704144,William,,Downtown/Civic Center,37.77938,-122.42154,Entire home/apt,152,2,22,2023-04-25,1.51,20,6,13,Exempt
43336608,Condo in San Francisco · ★5.0 · 1 bedroom · 1 bed · 1 bath,88602439,Elena,,Downtown/Civic Center,37.78777,-122.42075,Entire home/apt,173,30,3,2022-09-16,0.23,1,313,2,
42136964,Rental unit in San Francisco · 1 bedroom · 2 beds · 1 private bath,277785826,Zheng,,Visitacion Valley,37.71343,-122.40124,Private room,85,1,2,2020-02-27,0.05,1,0,0,
42139985,Condo in San Francisco · ★5.0 · 1 bedroom · 2 beds · 1 bath,8997887,Chris,,Castro/Upper Market,37.76633,-122.4292,Entire home/apt,180,30,5,2022-08-16,0.17,1,295,1,
42140976,Guesthouse in San Francisco · ★5.0 · 1 bedroom · 1 bed · 1 bath,131802738,Doris,,Ocean View,37.72199,-122.45885,Entire home/apt,55,30,5,2022-09-30,0.13,2,151,2,
42956000,Rental unit in San Francisco · Studio · 1 bed · 1 bath,73356825,Drew,,Inner Richmond,37.77663,-122.456,Entire home/apt,60,30,2,2022-01-01,0.11,1,69,0,
42962964,Rental unit in San Francisco · 5 bedrooms · 1 bed · 0 shared baths,335380214,June,,Chinatown,37.79587953299946,-122.40817039382686,Private room,58,30,0,,,9,181,0,
43346862,Hotel in San Francisco · ★4.46 · 1 bedroom · 1 bed · 1 private bath,20850212,Young,,Marina,37.79759,-122.42398,Private room,103,1,85,2023-04-25,2.46,16,146,24,License not needed per OSTR
42973015,Rental unit in San Francisco · 3 bedrooms · 3 beds · 2.5 baths,709325,Mark,,Twin Peaks,37.74758,-122.44562,Entire home/apt,193,30,1,2021-02-03,0.04,5,302,0,
43349696,Guesthouse in San Francisco · ★5.0 · 1 bedroom · 1 bed · 1 bath,226555948,Gi'Angelo,,Excelsior,37.72578,-122.40243,Entire home/apt,61,120,4,2023-05-19,0.12,14,173,2,
42982252,Home in San Francisco · ★4.91 · 1 bedroom · 1 bed · 1 shared bath,2146719,Nikki,,Bayview,37.72004,-122.39395,Private room,55,30,11,2023-01-31,0.31,8,297,3,
43349769,Guest suite in San Francisco · ★4.90 · 1 bedroom · 1 bed · 1 bath,8180570,Irina,,Parkside,37.74006,-122.4925,Entire home/apt,115,1,79,2023-05-21,2.19,1,66,24,STR-0004855
43009268,Rental unit in San Francisco · 5 bedrooms · 1 bed · 0 shared baths,335380214,June,,Nob Hill,37.79407186592026,-122.41009278692847,Private room,148,30,0,,,9,365,0,
43021523,Rental unit in San Francisco · 5 bedrooms · 1 bed · 0 shared baths,335380214,June,,Nob Hill,37.79437,-122.40977,Private room,70,30,0,,,9,181,0,
42142242,Rental unit in San Francisco · 1 bedroom · 1 bed · 1 private bath,45492116,Richard,,South of Market,37.77369620855496,-122.39425836864118,Private room,250,35,0,,,1,362,0,
43351645,Rental unit in San Francisco · ★5.0 · 2 bedrooms · 1 bed · 2 baths,4929368,Antoine,,South of Market,37.78201,-122.40741,Entire home/apt,230,30,3,2022-11-04,0.26,1,349,3,
42157054,Cottage in San Francisco · ★4.57 · 1 bedroom · 1 bed · 1 bath,25607186,Savvy,,Noe Valley,37.75525,-122.43883,Entire home/apt,150,30,7,2022-02-19,0.18,4,0,0,
42161427,Condo in San Francisco · ★4.95 · 3 bedrooms · 4 beds · 2 baths,9999808,Matthew,,Mission,37.7579,-122.41959,Entire home/apt,335,2,21,2023-06-04,0.87,2,64,14,City Registration Pending
42203080,Rental unit in San Francisco · Studio · 1 bed · 1 private bath,85132,Sanford,,Financial District,37.79,-122.40584,Private room,391,2,1,2022-09-23,0.12,15,365,1,
43054806,Condo in San Francisco · ★5.0 · 3 bedrooms · 3 beds · 2 baths,13694323,Marco,,Castro/Upper Market,37.75749,-122.43647,Entire home/apt,290,30,9,2022-10-01,0.25,1,271,2,
43059548,Home in San Francisco · 1 bedroom · 1 bed · 2.5 shared baths,15019726,Jonathan,,Marina,37.80636,-122.43868,Private room,75,30,0,,,1,64,0,
43372025,Rental unit in San Francisco · ★5.0 · 2 bedrooms · 2 beds · 1 bath,122074829,Ed,,Russian Hill,37.79962,-122.41363,Entire home/apt,175,30,7,2023-05-29,0.71,2,114,7,
43059936,Hotel in San Francisco · 1 bedroom · 1.5 baths,302987199,Palihotel,,Downtown/Civic Center,37.78914,-122.40722,Private room,135,1,0,,,5,316,0,Exempt
43069186,Rental unit in San Francisco · ★5.0 · 2 bedrooms · 2 beds · 1 bath,9080666,Sandy,,Ocean View,37.71867,-122.45046,Entire home/apt,106,30,3,2022-12-24,0.09,7,295,1,
43077495,Rental unit in San Francisco · 1 bedroom · 1 private bath,18415786,Charlie,,Mission,37.7539,-122.40743,Private room,75,31,0,,,1,0,0,
43089212,Home in San Francisco · ★4.77 · 1 bedroom · 1 bed · 1 private bath,2984805,Darrell,,Excelsior,37.72439,-122.40512,Private room,70,1,93,2023-05-26,2.94,3,60,43,
42205156,Rental unit in San Francisco · Studio · 1 bed · 1 private bath,85132,Sanford,,Financial District,37.78948,-122.40576,Private room,391,2,1,2022-06-09,0.08,15,365,1,
42205587,Rental unit in San Francisco · Studio · 1 bed · 1 private bath,85132,Sanford,,Chinatown,37.79087,-122.4059,Private room,391,2,2,2022-09-22,0.05,15,365,1,
43382198,Condo in San Francisco · 1 bedroom · 1 bed · 1 shared bath,43954646,Lance,,Inner Sunset,37.76539,-122.45318,Private room,98,30,1,2020-12-20,0.03,3,269,0,
42206227,Rental unit in San Francisco · Studio · 1 bed · 1 private bath,85132,Sanford,,Financial District,37.79031,-122.40601,Private room,391,2,1,2022-09-22,0.12,15,365,1,License not needed per OSTR
43104480,Rental unit in San Francisco · ★4.38 · 1 bedroom · 1 bed · 1 bath,248285981,The Landing,,Potrero Hill,37.7585,-122.39524,Entire home/apt,125,30,8,2022-11-23,0.24,9,285,3,
43390057,Hotel in San Francisco · ★4.44 · 1 bedroom · 1 bed · 1 private bath,162674732,Petite Auberge,,Downtown/Civic Center,37.789551,-122.411423,Private room,170,1,9,2022-11-20,0.26,4,283,1,Exempt
43104823,Rental unit in San Francisco · 1 bedroom · 1 bed · 1 shared bath,235973276,Luke,,Inner Richmond,37.77506,-122.45805,Private room,65,30,0,,,1,0,0,
42206528,Rental unit in San Francisco · Studio · 1 bed · 1 private bath,85132,Sanford,,Downtown/Civic Center,37.78939,-122.40806,Private room,391,2,1,2020-02-27,0.03,15,365,0,
42207965,Condo in San Francisco · ★5.0 · 2 bedrooms · 2 beds · 1 bath,335196582,Jr,,Pacific Heights,37.79048,-122.43208,Entire home/apt,500,30,5,2021-03-28,0.15,1,31,0,
